Data set,Best solution,Generation,Time
fl417,254351.7675575597,100,27.006662130355835
fl417,253386.4743964931,100,27.1143159866333
fl417,253010.06448843115,100,27.18803596496582
fl417,251085.2828568175,100,27.118067979812626
fl417,250977.639858514,100,27.023756980896
fl417,246945.8713716743,100,27.480764865875244
fl417,246539.6184945931,100,26.990238904953003
fl417,243813.58297175384,100,26.91757607460022
fl417,241329.3052750252,100,27.043699979782104
fl417,227046.24220805705,100,27.23995995521545
fl417,216909.5349051261,150,40.157142877578735
fl417,216036.1818018341,150,40.25317192077637
fl417,215972.9006109583,150,40.07394003868103
fl417,213745.2788309372,150,40.08089184761048
fl417,207770.0396526197,150,39.888315200805664
fl417,201819.15561331497,150,40.3264741897583
fl417,200956.41812573865,150,40.164751052856445
fl417,200870.4435479559,150,40.17942118644714
fl417,197236.0090699777,150,40.17684412002564
fl417,194275.1263158417,150,40.35943579673767
fl417,186922.6054794597,200,53.23595094680786
fl417,183839.31553548272,200,53.37587785720825
fl417,182758.25560305704,200,54.2674822807312
fl417,179312.31998751263,200,53.81782102584839
fl417,177488.10755617532,200,53.86861801147461
fl417,175240.22780422465,200,53.505532026290894
fl417,173855.40003958653,200,53.56649923324585
fl417,171571.92922105364,200,53.34155106544495
fl417,170763.3492346533,200,53.47135996818543
fl417,170376.89913936466,200,53.300372838974
fl417,164872.2350323162,250,66.96791100502014
fl417,159109.12335821526,250,66.75176906585693
fl417,158931.20285604036,250,66.6475100517273
fl417,158216.6851937396,250,66.77441000938416
fl417,157055.2349272264,250,66.82581305503845
fl417,154053.40860856857,250,66.68701791763306
fl417,153067.55122862797,250,66.90688276290894
fl417,151037.92071033703,250,66.87696599960327
fl417,149790.79398050127,300,83.38053297996521
fl417,145937.41366905853,300,80.88664293289185
fl417,145635.89469175713,250,67.07526588439941
fl417,145467.67045703987,300,82.17781209945679
fl417,144729.87872556158,300,83.26380610466003
fl417,144193.54311616236,250,67.00256180763245
fl417,143845.68009978396,300,80.92981195449829
fl417,139992.73373258396,300,82.50597214698792
fl417,139685.20118764197,300,81.66846799850464
fl417,137301.22289971283,300,82.10363292694092
fl417,137188.05066606088,300,81.02322292327881
fl417,134356.56605840402,300,83.87811613082886
