Data set,Best solution,Generation,Time
gr666,38769.21439322021,100,66.10492277145386
gr666,38484.25715593974,100,66.05615997314453
gr666,38409.07874254545,100,65.75986504554749
gr666,38378.562014729374,100,65.67208099365234
gr666,38095.34572705487,100,65.93720507621765
gr666,37211.77599913297,100,65.86754322052002
gr666,37154.650059879255,100,66.0416488647461
gr666,36944.09631344242,100,68.82333278656006
gr666,36899.87407546923,100,66.00543475151062
gr666,36249.89589091866,100,65.65703988075256
gr666,34213.15976818433,150,98.8364601135254
gr666,33895.702524952154,150,99.80822086334229
gr666,33821.51122103692,150,98.16160988807678
gr666,33617.69829920363,150,99.53208088874815
gr666,33250.12781408599,150,97.95797777175903
gr666,33119.36784319767,150,102.56438398361206
gr666,33106.76027431605,150,97.98485112190248
gr666,33098.57517612257,150,106.33969211578368
gr666,32955.81737306861,150,100.61168837547302
gr666,32757.480945629544,150,101.07796788215636
gr666,31291.80506732616,200,131.23724794387817
gr666,31073.38475116188,200,131.50129008293152
gr666,30843.455376911155,200,130.56414008140564
gr666,30721.76574465504,200,130.76001596450806
gr666,30693.2320414931,200,131.27713108062744
gr666,30592.365566574925,200,131.6351969242096
gr666,30377.053646678287,200,130.93993091583252
gr666,30323.6096568502,200,130.85267996788025
gr666,30317.3502665332,200,131.40862202644348
gr666,30304.122729732004,200,131.02557587623596
gr666,29052.81636028708,250,163.79813289642334
gr666,28974.961997665,250,162.76835584640503
gr666,28813.28678829892,250,272.0586349964142
gr666,28610.01453806683,250,168.8732712268829
gr666,28533.690137127785,250,163.84924483299255
gr666,28317.821753029875,250,163.51225209236145
gr666,28293.999612655163,250,262.7309470176697
gr666,28255.768088860583,250,163.26862788200378
gr666,28023.344168089385,250,163.52972316741943
gr666,28015.93177919933,250,163.391206741333
gr666,26746.66233225472,300,196.22372722625727
gr666,26625.241268849382,300,195.76011109352112
gr666,26619.883632790217,300,195.8792850971222
gr666,26561.980405457714,300,196.60508513450625
gr666,26476.12623167191,300,196.0940039157868
gr666,26343.36574536647,300,198.1461181640625
gr666,25968.12093215746,300,195.6516761779785
gr666,25917.841849782388,300,196.0329909324646
gr666,25773.86800422495,300,196.9026701450348
gr666,25760.96920796686,300,196.81342315673828
