Data set;Best solution;Generation;Time
kroA150;110923,3666;100;6,814363241
kroA150;109312,5637;100;7,068338871
kroA150;108568,1624;100;6,733906269
kroA150;108481,7223;100;6,689040899
kroA150;107546,8865;100;6,701885223
kroA150;106852,0473;100;6,691496849
kroA150;105586,237;100;6,681491852
kroA150;104733,9311;100;6,683254004
kroA150;104696,1068;100;6,719655991
kroA150;104529,0307;100;7,278667927
kroA150;83427,29128;200;13,26196098
kroA150;82963,28708;200;13,22174311
kroA150;81173,21959;200;13,19921303
kroA150;81148,50505;200;13,30289888
kroA150;80200,55001;200;13,25388312
kroA150;79028,87046;200;13,33110809
kroA150;76666,04237;200;13,15678787
kroA150;75722,45167;200;13,21687889
kroA150;73870,51234;200;13,22129798
kroA150;69479,20001;200;13,29873586
kroA150;59746,34566;400;26,47255111
kroA150;59050,67503;400;26,36194992
kroA150;58032,59212;400;26,48505521
kroA150;57664,14418;400;26,943928
kroA150;56789,80362;400;26,42011595
kroA150;56681,53713;400;26,38261604
kroA150;56566,34894;400;27,74617219
kroA150;56043,8033;400;26,4587388
kroA150;54186,45832;400;26,55264997
kroA150;52062,31798;400;27,48975897
kroA150;51784,12734;600;39,48598409
kroA150;50858,40627;600;39,57353497
kroA150;50303,87186;600;39,59724975
kroA150;49881,67315;600;39,76620793
kroA150;49838,16234;600;39,55629516
kroA150;48624,78343;600;39,86539698
kroA150;48141,41376;600;39,65715981
kroA150;46747,55066;600;39,49697113
kroA150;46178,09729;600;41,28280902
kroA150;45535,4408;600;39,64205408
kroA150;45527,11364;800;52,72634697
kroA150;44638,62536;800;52,83285975
kroA150;44518,31357;800;52,77239013
kroA150;43930,53688;800;53,4185698
kroA150;43745,7658;800;53,89829302
kroA150;43715,59007;800;52,99070096
kroA150;43374,32943;800;52,91306806
kroA150;43268,41302;800;53,00398803
kroA150;43163,10519;800;53,21820331
kroA150;41494,14519;800;53,11975193
