Data set,Best solution,Generation,Time
kroA200,163147.50266019662,100,11.656399965286257
kroA200,162961.25547049288,100,12.426444053649902
kroA200,162850.4896647666,100,11.811398029327393
kroA200,162711.93821850556,100,11.123693943023682
kroA200,160368.07441987575,100,11.0629780292511
kroA200,159830.42516907176,100,11.1025710105896
kroA200,159075.27938277455,100,11.119043827056885
kroA200,154573.8721475888,100,11.10184621810913
kroA200,151384.29168521473,100,11.047578811645508
kroA200,149488.63122993166,100,11.090641021728516
kroA200,124307.15523851136,200,21.91557788848877
kroA200,119989.22266433884,200,22.46909999847412
kroA200,119581.61850289637,200,13.856754064559937
kroA200,119048.12776984592,200,20.03785896301269
kroA200,118670.6424376894,200,13.815085887908936
kroA200,117765.82605530994,200,18.30328702926636
kroA200,116597.49606650084,200,22.035157918930054
kroA200,115473.13399344197,200,22.03367495536804
kroA200,115316.88006163064,200,22.1256639957428
kroA200,112350.73836025406,200,23.028517961502075
kroA200,101011.00027965162,300,20.664639234542847
kroA200,100188.7659035682,300,20.903443336486816
kroA200,98074.7564114006,300,20.601593255996704
kroA200,96402.86813288437,300,20.93058729171753
kroA200,95712.30924420324,300,20.618938207626343
kroA200,95104.08379003266,300,20.67768502235413
kroA200,91570.5602977909,300,20.782099962234497
kroA200,90513.06325732698,300,20.83536696434021
kroA200,89623.58630735098,300,21.196517944335938
kroA200,89509.35786563014,400,27.30378484725952
kroA200,88622.99948994243,300,20.51409411430359
kroA200,88477.18917429938,400,27.27739882469177
kroA200,87095.22783752046,400,27.24452900886536
kroA200,86443.13388514699,400,27.3822500705719
kroA200,85845.92708753013,400,27.383599042892456
kroA200,85374.82613030077,400,27.326605081558228
kroA200,84766.11779943052,400,27.320513010025024
kroA200,84508.73460327843,400,27.372547149658203
kroA200,82922.49852691479,400,27.3508563041687
kroA200,82257.90992258402,500,34.311448097229004
kroA200,81540.61623624925,400,27.40983986854553
kroA200,77964.8984428082,500,34.17898797988892
kroA200,77597.58973163695,500,34.223124980926514
kroA200,77120.58295908316,500,34.19925022125244
kroA200,76714.47255825435,500,34.17355966567993
kroA200,75734.19117678676,500,34.079559087753296
kroA200,75460.40142768766,500,34.158767223358154
kroA200,74296.43292946536,500,34.19596004486084
kroA200,71362.39310353111,500,34.16295790672302
kroA200,68823.87482468112,500,34.18121600151062
