Data set,Best solution,Generation,CrossoverStrategy,Time
fl417,291894.89789211686,100,CrossoverStrategy.OX,26.699469089508057
fl417,285974.9975881817,100,CrossoverStrategy.OX,26.85027503967285
fl417,284864.59460738994,100,CrossoverStrategy.OX,26.911082983016968
fl417,281571.11963362765,100,CrossoverStrategy.OX,27.01531219482422
fl417,280037.84603933804,100,CrossoverStrategy.OX,26.8239529132843
fl417,279718.0977747572,100,CrossoverStrategy.OX,26.867249011993408
fl417,279197.76486868673,100,CrossoverStrategy.OX,26.97999119758606
fl417,274453.40244669904,100,CrossoverStrategy.OX,27.015475034713745
fl417,271527.5882113876,100,CrossoverStrategy.OX,26.858301877975464
fl417,269156.8269697278,100,CrossoverStrategy.OX,26.98106813430786
kroA200,181160.4457636659,100,CrossoverStrategy.OX,6.912224054336548
kroA200,177369.77252174402,100,CrossoverStrategy.OX,6.937740802764893
kroA200,177295.89114539325,100,CrossoverStrategy.OX,6.861148118972778
kroA200,176163.17905727014,100,CrossoverStrategy.OX,6.88797402381897
kroA200,175439.84922478528,100,CrossoverStrategy.OX,6.868811845779419
kroA200,173342.52575838775,100,CrossoverStrategy.OX,6.920591831207275
kroA200,172140.31043354011,100,CrossoverStrategy.OX,6.862829208374023
kroA200,171081.6677271119,100,CrossoverStrategy.OX,6.890905857086182
kroA200,169378.84017869574,100,CrossoverStrategy.OX,6.903179883956909
kroA200,166403.18670116237,100,CrossoverStrategy.OX,6.846877098083496
kroA150,131581.0190212197,100,CrossoverStrategy.OX,4.158577919006348
kroA150,129734.3838670418,100,CrossoverStrategy.OX,4.146927833557129
kroA150,128007.172864113,100,CrossoverStrategy.OX,4.1569132804870605
kroA150,126630.03387949092,100,CrossoverStrategy.OX,4.140913963317871
kroA150,126416.7411975149,100,CrossoverStrategy.OX,4.171126842498779
kroA150,126375.60612096036,100,CrossoverStrategy.OX,4.16429328918457
kroA150,123262.19007110246,100,CrossoverStrategy.OX,4.125784873962402
kroA150,123101.80007316532,100,CrossoverStrategy.OX,4.116055011749268
kroA150,120603.17450844814,100,CrossoverStrategy.OX,4.128054857254028
kroA150,115090.90659921472,100,CrossoverStrategy.OX,4.133404731750488
kroA100,80773.82286672844,100,CrossoverStrategy.OX,2.1120190620422363
kroA100,76818.34335202293,100,CrossoverStrategy.OX,2.125591993331909
kroA100,76783.0602840487,100,CrossoverStrategy.OX,2.120899200439453
kroA100,74891.39021766957,100,CrossoverStrategy.OX,2.130788803100586
kroA100,73706.52931374239,100,CrossoverStrategy.OX,2.1038131713867188
kroA100,72963.31532068815,100,CrossoverStrategy.OX,2.111427068710327
kroA100,72831.74431213632,100,CrossoverStrategy.OX,2.117776870727539
kroA100,70952.03307796443,100,CrossoverStrategy.OX,2.125951051712036
kroA100,69176.95987321566,100,CrossoverStrategy.OX,2.119279861450196
kroA100,68656.50748376912,100,CrossoverStrategy.OX,2.107350826263428
gr666,41404.30069429069,100,CrossoverStrategy.OX,65.8334059715271
gr666,40984.54670524724,100,CrossoverStrategy.OX,65.9064269065857
gr666,40898.51761838292,100,CrossoverStrategy.OX,65.8657751083374
gr666,40698.944929903126,100,CrossoverStrategy.OX,66.91131401062012
gr666,40199.70772160988,100,CrossoverStrategy.OX,66.2369122505188
gr666,39948.831248427305,100,CrossoverStrategy.OX,65.95173907279968
gr666,39844.72994102568,100,CrossoverStrategy.OX,66.63452410697937
gr666,39616.50928137747,100,CrossoverStrategy.OX,66.32113194465637
gr666,39599.88180612575,100,CrossoverStrategy.OX,66.70443391799927
gr666,39299.32248518364,100,CrossoverStrategy.OX,66.57919788360596
berlin52,14471.724176150514,100,CrossoverStrategy.OX,0.8194079399108887
berlin52,13727.292463123456,100,CrossoverStrategy.OX,0.8293702602386475
berlin52,13108.995346110862,100,CrossoverStrategy.OX,0.8243880271911621
berlin52,13022.391651500127,100,CrossoverStrategy.OX,0.8161771297454834
berlin52,12834.616324148954,100,CrossoverStrategy.OX,0.8158848285675049
berlin52,12573.730675018847,100,CrossoverStrategy.OX,0.8179788589477539
berlin52,12530.493332210955,100,CrossoverStrategy.OX,0.8142881393432617
berlin52,11963.24010308891,100,CrossoverStrategy.OX,0.8185200691223145
berlin52,11620.85769128982,100,CrossoverStrategy.OX,0.8164060115814209
berlin52,11425.988001575442,100,CrossoverStrategy.OX,0.8458709716796875
